id_venda;data_venda;id_cliente;id_produto;quantidade;valor_unitario;desconto;forma_pagamento;status_venda;valor_total
V000308;2026-02-10;C0013;P0017;29.0;114.86;50.0;Cartão;Faturada;3280.94
V000309;2026-06-20;C0042;P0047;9.0;180.55;20.0;Boleto;Faturada;1604.95
V000310;2026-03-01;C0026;P0040;24.0;151.0;5.0;PIX;Faturada;3619.0
V000311;2026-06-01;C0001;P0028;16.0;53.4;0.0;Transferência;Faturada;854.4
V000312;2026-08-09;C0001;P0044;27.0;183.48;5.0;Boleto;Faturada;4948.96
V000313;2026-07-26;C0005;P0030;13.0;120.2;0.0;PIX;Faturada;1562.6
V000314;2026-07-28;C0024;P0039;5.0;220.09;50.0;Boleto;Faturada;1050.45
V000315;2026-06-16;;P0068;19.0;;0.0;Transferência;Faturada;1258.18
V000316;2026-04-16;C0047;P0028;21.0;59.29;10.0;transferência;Faturada;1235.09
V000317;2026-05-31;C0006;P0013;5.0;163.12;20.0;Transferência;Faturada;795.6
V000318;2026-03-12;C0028;P0041;26.0;209.63;20.0;PIX;Faturada;5430.38
V000319;2026-03-14;C0036;P0077;20.0;12.55;50.0;;Faturada;201.0
V000320;2026-07-11;C0014;P0067;20.0;140.88;5.0;Cartão;Faturada;2812.6
V000321;2026-05-08;C0016;P0064;13.0;13.92;20.0;PIX;Cancelada;160.96
V000322;2026-04-10;C0001;P0047;30.0;187.5;50.0;Transferência;Faturada;5575.0
V000323;2026-07-17;C0035;P0023;25.0;122.07;0.0;PIX;Devolvida;3051.75
V000324;2026-01-16;C0005;P0002;9.0;218.51;50.0;Transferência;Cancelada;1916.59
V000325;2026-06-29;C0019;P0065;25.0;134.48;5.0;PIX;Cancelada;3357.0
V000326;2026-03-21;C0035;P0079;5.0;107.82;0.0;Boleto;Faturada;539.1
V000327;2026-07-15;C0035;P0042;13.0;228.63;50.0;PIX;Faturada;2922.19
V000328;2026-03-03;;P0056;24.0;174.13;0.0;Boleto;Faturada;4179.12
V000329;2026-01-15;C0028;P0015;15.0;3.07;0.0;Boleto;Faturada;46.05
V000330;2026-05-08;C0001;P0018;23.0;135.04;0.0;Cartão;Faturada;3105.92
V000331;2026-03-10;C0024;P0017;24.0;117.13;20.0;PIX;Faturada;2791.12
V000332;2026-03-09;C0022;P0055;9.0;168.03;20.0;PIX;;1492.27
V000333;2026-08-08;C0030;P0066;12.0;68.13;10.0;Boleto;Faturada;807.56
V000334;2026-05-27;C0011;P0033;25.0;97.3;20.0;  PIX ;Faturada;2412.5
V000335;2026-08-09;C0048;P0066;1.0;;0.0;Boleto;Faturada;68.0
V000336;2026-02-15;C0031;P0047;13.0;205.42;50.0;PIX;Cancelada;2620.46
V000337;2026-04-17;C0046;P0054;8.0;22.09;20.0;Cartão;Faturada;156.72
V000338;2026-06-22;C0005;P0074;12.0;35.17;0.0;Boleto;Faturada;422.04
V000339;2026-04-30;C0034;p0006;13.0;88.7;50.0;Cartão;Faturada;1103.1
V000340;2026-04-05;C0021;p0012;18.0;214.25;0.0;Cartão;Devolvida;3856.5
V000341;2026-06-01;C0020;P0080;8.0;190.02;5.0;Boleto;Cancelada;1515.16
V000342;2026-04-15;C0049;P0032;5.0;77.82;0.0;Boleto;Cancelada;389.1
V000343;2026-06-18;C0023;P0002;11.0;210.98;5.0;Cartão;Faturada;2315.78
V000344;2026-01-16;C0014;P0068;8.0;70.75;0.0;Cartão;Faturada;566.0
V000345;2026-04-16;C0003;P0030;29.0;135.13;20.0;Cartão;Faturada;3898.77
V000346;2026-02-04;C0048;P0011;19.0;119.42;20.0;Transferência;Faturada;2248.98
V000347;2026-02-03;C0038;P0073;2.0;183.13;0.0;Cartão;Faturada;366.26
V000348;2026-03-25;C0021;P0051;23.0;115.94;0.0;Transferência;Faturada;2666.62
V000349;2026-07-17;C0015;P0010;7.0;44.23;10.0;PIX;Faturada;299.61
V000350;2026-04-15;C0007;P0022;15.0;206.45;0.0;Cartão;Faturada;
V000351;2026-01-31;C0029;P0040;15.0;;;Boleto;Faturada;2118.15
V000352;2026-08-08;C0046;P0078;2.0;215.32;0.0;Boleto;Faturada;430.64
V000353;2026-01-13;C0046;P0032;12.0;82.87;20.0;Cartão;Faturada;974.44
V000354;2026-05-23;C0012;P0004;13.0;29.43;20.0;Boleto;Faturada;362.59
V000355;2026-02-01;C0030;P0014;26.0;104.61;0.0;PIX;Faturada;2719.86
V000356;2026-06-25;C0009;P0026;27.0;110.89;20.0;PIX;Devolvida;2974.03
V000357;2026-01-06;C0038;P0034;30.0;100.99;0.0;Boleto;Faturada;3029.7
V000358;2026-07-27;C0009;p0012;29.0;227.21;0.0;PIX;Faturada;6589.09
V000359;2026-04-21;c0030;P0007;6.0;101.49;50.0;Transferência;Faturada;558.94
V000360;2026-04-01;C0002;P0049;22.0;151.5;0.0;Boleto;Faturada;3333.0
V000361;2026-06-07;C0018;P0058;29.0;53.16;10.0;Boleto;Faturada;1531.64
V000362;2026-01-16;C0032;P0053;29.0;141.78;0.0;Cartão;Faturada;4111.62
V000363;2026-07-24;C0009;P0054;7.0;23.21;10.0;Boleto;Cancelada;152.47
V000364;2026-05-03;C0002;P0049;26.0;158.26;10.0;Transferência;Faturada;4104.76
V000365;2026-02-16;C0037;P0065;11.0;133.92;0.0;Cartão;Devolvida;1473.12
V000366;2026-03-13;C0015;P0004;29.0;29.24;0.0;Transferência;Cancelada;847.96
V000367;2026-01-26;C0023;P0075;8.0;79.4;0.0;Boleto;  Faturada ;635.2
V000368;2026-02-26;C0035;P0008;25.0;242.55;10.0;Transferência;Faturada;6053.75
V000369;2026-07-26;C0012;P0023;8.0;124.36;20.0;Cartão;Devolvida;974.88
V000370;2026-05-25;C0002;P0046;19.0;157.31;0.0;Transferência;Cancelada;2988.89
V000371;2026-01-15;C0020;P0023;16.0;113.9;0.0;Boleto;Faturada;1822.4
V000372;2026-06-07;C0034;P0062;1.0;15.12;0.0;Boleto;Faturada;15.12
V000373;2026-08-11;C0046;P0023;30.0;128.32;0.0;PIX;Faturada;3849.6
V000374;2026-07-18;C0010;P0076;23.0;175.19;0.0;Cartão;Faturada;4029.37
V000375;2026-03-19;C0024;P0051;19.0;103.54;0.0;Boleto;Faturada;1967.26
V000376;2026-05-05;C0047;P0056;26.0;166.26;20.0;Cartão;Faturada;4302.76
V000377;2026-06-07;C0046;P0072;23.0;175.28;50.0;Cartão;Faturada;3981.44
V000378;2026-03-20;C0043;P0076;27.0;156.4;20.0;Cartão;Faturada;4202.8
V000379;2026-04-11;C0012;P0001;23.0;221.53;50.0;PIX;Faturada;5045.19
V000380;2026-06-06;C0039;P0041;30.0;232.47;0.0;PIX;Faturada;6974.1
V000381;2026-03-30;C0010;P0043;24.0;203.44;0.0;Boleto;Faturada;4882.56
V000382;2026-02-23;C0046;;15.0;201.22;0.0;PIX;Faturada;3018.3
V000383;2026-04-09;C0017;P0014;24.0;92.4;5.0;Transferência;Faturada;2212.6
V000384;2026-05-20;C0027;P0064;29.0;14.52;5.0;PIX;Faturada;416.08
V000385;2026-07-24;C0037;P0029;6.0;90.75;50.0;PIX;Faturada;494.5
V000386;2026-01-19;C0002;P0041;9.0;237.35;0.0;Boleto;Faturada;2136.15
V000387;2026-01-24;C0011;P0010;18.0;50.03;0.0;Transferência;Faturada;900.54
V000388;2026-02-10;C0028;P0022;20.0;219.98;0.0;PIX;Faturada;4399.6
V000389;2026-07-04;C0014;P0025;14.0;148.88;20.0;Cartão;Faturada;2064.32
V000390;2026-05-27;C0020;P0031;4.0;197.32;10.0;  Transferência ;Faturada;779.28
V000391;2026-03-17;C0004;P0047;1.0;190.79;50.0;Transferência;Faturada;140.79
V000392;2026-03-16;C0007;P0004;7.0;26.49;0.0;Transferência;Faturada;185.43
V000393;2026-06-19;C0020;P0051;16.0;110.13;0.0;PIX;Cancelada;1762.08
V000394;2026-04-05;C0025;P0024;12.0;35.74;0.0;Transferência;Faturada;428.88
V000395;2026-08-03;C0017;P0057;15.0;79.36;0.0;PIX;Faturada;1190.4
V000396;2026-07-26;C0049;P0013;3.0;161.09;10.0;Transferência;Devolvida;473.27
V000397;2026-07-29;C0015;P0071;2.0;147.48;10.0;Transferência;Cancelada;284.96
V000398;2026-05-02;C0044;;19.0;47.0;0.0;PIX;Faturada;893.0
V000399;2026-05-13;C0046;P0005;17.0;110.49;50.0;Boleto;Faturada;1828.33
V000400;2026-02-12;C0049;p0058;;60.08;;Boleto;Faturada;360.48
V000401;2026-04-22;C0003;P0055;3.0;179.99;0.0;Boleto;Devolvida;539.97
V000402;26/07/2026;C0017;P0041;30.0;229.68;0.0;PIX;Faturada;6890.4
V000403;2026-03-12;C0036;P0051;18.0;107.36;10.0;Transferência;Faturada;1922.48
V000404;2026-04-18;C0045;P0080;19.0;191.74;0.0;Transferência;Faturada;3643.06
V000405;2026-01-26;C0010;P0073;19.0;187.33;0.0;PIX;Faturada;3559.27
V000406;2026-04-09;C0035;P0045;29.0;158.83;20.0;Transferência;Devolvida;4586.07
V000407;2026-04-14;;P0061;2.0;42.15;0.0;Transferência;Faturada;84.3
V000408;2026-07-10;C0026;P0043;23.0;208.79;5.0;Cartão;Faturada;4797.17
V000409;2026-03-21;C0002;P0044;27.0;203.66;0.0;Transferência;Faturada;5498.82
V000410;2026-04-24;C0015;P0018;10.0;156.67;50.0;Cartão;Faturada;1516.7
V000411;2026-02-18;C0047;P0054;20.0;23.22;5.0;Boleto;Faturada;459.4
V000412;2026-04-06;C0048;P0063;25.0;135.92;;PIX;Cancelada;3348.0
V000413;2026-04-14;C0011;P0009;10.0;176.8;0.0;PIX;Faturada;1768.0
V000414;2026-01-09;C0013;P0026;27.0;104.95;5.0;PIX;Faturada;2828.65
V000415;2026-04-29;C0046;P0026;9.0;110.33;10.0;Transferência;Faturada;982.97
V000416;2026-06-02;C0044;P0004;8.0;27.36;5.0;Boleto;Faturada;
V000417;2026-08-03;C0038;P0071;12.0;136.78;0.0;PIX;Faturada;1641.36
V000418;2026-05-27;C0002;P0050;2.0;61.58;50.0;Boleto;Faturada;73.16
V000419;2026-06-16;C0042;P0029;22.0;87.31;5.0;PIX;Faturada;1915.82
V000420;2026-07-25;C0031;p0017;;106.63;0.0;Boleto;;2239.23
V000421;2026-06-14;C0039;P0040;23.0;157.03;0.0;Transferência;Faturada;3611.69
V000422;2026-03-19;C0023;P0059;9.0;171.29;20.0;Transferência;Devolvida;1521.61
V000423;2026-08-04;C0007;P0001;17.0;223.15;50.0;Cartão;Cancelada;3743.55
V000424;2026-06-25;C0042;P0077;20.0;11.73;0.0;Transferência;Faturada;234.6
V000425;2026-03-12;C0022;P0036;21.0;106.66;0.0;Cartão;Faturada;
V000426;2026-01-15;C0010;P0067;25.0;135.05;50.0;Transferência;Faturada;3326.25
V000427;2026-05-08;C0044;P0018;24.0;135.36;0.0;Cartão;Faturada;3248.64
V000428;2026-07-01;C0026;P0050;24.0;60.3;10.0;Boleto;Faturada;1437.2
V000429;2026-07-20;C0047;P0029;22.0;91.92;5.0;Cartão;Cancelada;2017.24
V000430;2026-05-23;C0020;P0022;27.0;212.57;0.0;Cartão;Faturada;5739.39
V000431;2026-07-26;C0031;P0017;24.0;108.1;10.0;Boleto;Faturada;2584.4
V000432;2026-07-10;C0042;P0012;8.0;210.89;50.0;Cartão;Faturada;1637.12
V000433;2026-04-29;C0022;P0048;9.0;110.6;50.0;PIX;Faturada;945.4
V000434;2026-01-19;C0004;P0075;19.0;79.06;5.0;Boleto;Cancelada;1497.14
V000435;2026-01-14;C0008;P0049;17.0;148.48;50.0;Boleto;Faturada;2474.16
V000436;2026-08-17;C0013;P0044;14.0;209.46;5.0;Boleto;Faturada;2927.44
V000437;2026-03-27;;P0024;25.0;31.56;20.0;Boleto;Faturada;769.0
V000438;2026-02-23;C0041;P0008;1.0;223.68;50.0;Boleto;Devolvida;173.68
V000439;2026-07-19;  C0049 ;P0021;16.0;122.31;0.0;Boleto;Devolvida;1956.96
V000440;2026-05-03;C0028;P0055;13.0;165.59;5.0;PIX;Faturada;2147.67
V000441;2026-01-04;C0035;P0026;24.0;110.41;0.0;Boleto;Faturada;2649.84
V000442;2026-02-27;C0044;P0001;21.0;214.67;20.0;Cartão;Faturada;4488.07
V000443;2026-03-20;c0009;P0014;13.0;100.14;0.0;PIX;  Faturada ;1301.82
V000444;2026-06-02;C0020;P0038;15.0;115.51;10.0;Cartão;Faturada;1722.65
V000445;06/05/2026;C0044;P0018;11.0;157.16;0.0;Boleto;Faturada;1728.76
V000446;2026-02-03;C0026;P0003;8.0;76.31;0.0;PIX;Devolvida;610.48
V000447;2026-06-16;C0033;P0022;4.0;203.28;50.0;;  Faturada ;763.12
V000448;2026-01-13;C0041;P0033;25.0;104.19;10.0;PIX;Faturada;2594.75
V000449;2026-04-17;C0042;P0003;2.0;82.01;5.0;Transferência;Faturada;159.02
V000450;2026-02-22;C0036;P0033;16.0;106.85;20.0;PIX;Faturada;1689.6
V000451;2026-06-09;C0027;P0013;22.0;157.51;10.0;Boleto;Faturada;
V000452;2026-03-14;C0007;P0066;24.0;74.46;0.0;PIX;Faturada;1787.04
V000453;2026-08-01;C0013;P0078;7.0;234.83;10.0;Boleto;;1633.81
V000454;2026-05-21;C0046;P0053;10.0;;5.0;Boleto;Faturada;1328.3
V000455;2026/01/23;C0022;P0031;1.0;196.12;0.0;Transferência;Faturada;196.12
V000456;2026-01-26;C0006;P0066;3.0;75.65;0.0;Boleto;Faturada;226.95
V000457;2026-07-28;C0019;P0034;15.0;89.68;0.0;PIX;Faturada;1345.2
V000458;2026-01-25;C0024;P0041;14.0;230.07;50.0;PIX;Faturada;3170.98
V000459;2026-04-23;C0009;P0022;11.0;202.99;10.0;Cartão;Faturada;2222.89
V000460;2026-04-13;C0024;P0044;6.0;183.28;5.0;Cartão;Faturada;1094.68
V000461;2026-08-15;C0045;P0062;26.0;15.34;50.0;Boleto;Faturada;348.84
V000462;2026-04-17;C0009;P0008;28.0;213.53;10.0;Transferência;Devolvida;5968.84
V000463;2026-07-19;C0044;P0057;6.0;83.77;0.0;PIX;Faturada;502.62
V000464;23/04/2026;C0031;P0063;4.0;143.66;0.0;PIX;Faturada;574.64
V000465;2026-06-23;C0042;P0041;1.0;228.91;10.0;Boleto;Faturada;218.91
V000466;2026-01-25;C0034;P0067;;145.01;5.0;Boleto;Faturada;3330.23
V000467;2026-05-23;C0023;P0050;5.0;68.33;10.0;PIX;Faturada;331.65
V000468;2026-08-07;C0042;P0021;17.0;123.45;5.0;Boleto;Faturada;2093.65
V000469;2026-03-13;C0049;P0063;11.0;130.17;0.0;Boleto;Cancelada;1431.87
V000470;2026-01-21;C0042;P0049;13.0;160.71;5.0;Transferência;Devolvida;2084.23
V000471;2026-03-22;C0029;P0012;28.0;215.64;0.0;Transferência;Faturada;6037.92
V000472;2026-05-21;C0007;P0052;14.0;41.74;0.0;PIX;Devolvida;
V000473;2026-02-22;C0040;P0039;29.0;224.42;20.0;Transferência;Faturada;6488.18
V000474;2026-04-27;C0024;P0007;27.0;;0.0;Transferência;Faturada;2462.94
V000475;2026-06-18;C0046;P0058;4.0;52.72;0.0;PIX;Faturada;210.88
V000476;2026-06-29;C0023;P0038;18.0;111.98;0.0;PIX;Faturada;2015.64
V000477;2026-07-04;C0032;P0018;27.0;150.89;5.0;PIX;Faturada;4069.03
V000478;2026-08-07;C0040;P0026;7.0;106.04;5.0;Boleto;Faturada;737.28
V000479;2026-01-12;C0013;P0044;4.0;202.56;20.0;PIX;Faturada;790.24
V000480;2026-05-08;C0030;P0076;17.0;155.37;0.0;PIX;Cancelada;2641.29
V000481;2026-07-19;C0028;P0075;16.0;78.83;0.0;Boleto;Faturada;1261.28
V000482;2026-08-14;C0007;P0050;;65.95;0.0;Transferência;Faturada;1450.9
V000483;2026-03-29;c0039;P0032;9.0;82.89;0.0;Transferência;Faturada;746.01
V000484;2026-07-11;  C0009 ;P0053;20.0;145.01;10.0;Cartão;Cancelada;2890.2
V000485;2026-02-23;C0021;P0071;21.0;134.04;10.0;Cartão;Faturada;2804.84
V000486;2026-02-15;C0044;P0017;23.0;114.86;10.0;Cartão;Faturada;2631.78
V000487;2026-05-27;C0049;P0046;18.0;155.32;20.0;Transferência;Cancelada;2775.76
V000488;2026-01-28;C0019;P0055;26.0;154.87;0.0;Transferência;Faturada;4026.62
V000489;2026-07-21;C0004;P0008;7.0;217.26;0.0;Cartão;Faturada;1520.82
V000490;2026-02-22;C0010;P0008;23.0;235.2;50.0;PIX;Faturada;5359.6
V000491;2026-07-09;C0029;P0014;20.0;105.75;10.0;Boleto;Cancelada;2105.0
V000492;2026-07-24;C0025;P0031;17.0;221.29;20.0;Cartão;Faturada;3741.93
V000493;2026-06-25;C0025;P0050;14.0;69.51;0.0;PIX;Faturada;973.14
V000494;2026-07-19;C0048;P0033;7.0;105.55;50.0;Transferência;  Faturada ;688.85
V000495;2026-07-09;C0041;P0048;25.0;110.65;10.0;Boleto;Faturada;2756.25
V000496;2026-01-20;C0019;P0058;6.0;60.38;0.0;Boleto;Cancelada;362.28
V000497;2026-05-23;C0008;P0049;2.0;151.55;0.0;Boleto;Faturada;303.1
V000498;2026-07-01;C0038;P0033;1.0;100.93;0.0;PIX;Faturada;100.93
V000499;2026-06-10;C0021;P0077;2.0;12.65;;Cartão;Faturada;15.3
V000500;2026-07-01;C0037;  P0071 ;12.0;130.93;0.0;Boleto;Faturada;1571.16
V000501;2026-04-17;C0034;p0009;26.0;171.41;10.0;Transferência;Faturada;4446.66
V000502;2026-03-26;C0023;P0029;29.0;87.4;0.0;Cartão;Faturada;2534.6
V000503;2026-05-24;C0014;P0080;17.0;190.34;50.0;PIX;Faturada;3185.78
V000504;2026-06-14;C0043;P0045;15.0;154.61;10.0;Boleto;Faturada;2309.15
V000505;2026-01-30;C0044;P0042;13.0;240.06;5.0;Cartão;Cancelada;3115.78
V000506;2026-07-30;C0047;P0037;1.0;83.41;50.0;Cartão;Cancelada;33.41
V000507;2026-08-18;C0033;P0058;16.0;52.26;20.0;Boleto;Faturada;816.16
V000508;2026-07-17;C0033;P0011;4.0;120.83;10.0;PIX;Faturada;473.32
V000509;2026-08-02;C0014;P0028;28.0;58.73;0.0;Boleto;Cancelada;1644.44
V000510;2026-01-19;C0045;P0056;21.0;170.71;20.0;Boleto;Faturada;3564.91
V000511;2026-01-14;C0030;P0043;2.0;203.76;0.0;Cartão;Cancelada;407.52
V000512;2026-03-08;C0005;P0074;;35.79;5.0;Transferência;Faturada;961.33
V000513;2026-04-10;C0041;P0052;14.0;43.68;20.0;PIX;Cancelada;591.52
V000514;2026-05-30;C0001;P0080;3.0;198.6;0.0;PIX;Faturada;595.8
V000515;2026-03-19;C0033;P0014;10.0;104.5;10.0;  PIX ;Faturada;1035.0
V000516;2026-06-19;C0049;P0057;13.0;81.03;0.0;Transferência;Faturada;1053.39
V000517;2026-07-23;C0035;P0029;5.0;94.91;50.0;;Faturada;424.55
V000518;2026-05-23;C0020;P0048;1.0;110.06;0.0;PIX;Faturada;110.06
V000519;2026-05-21;C0001;P0074;20.0;36.74;0.0;cartão;Faturada;734.8
V000520;2026-06-15;C0048;P0045;7.0;158.88;50.0;Boleto;Faturada;1062.16
V000521;2026-02-19;C0012;P0029;20.0;96.14;0.0;Boleto;Devolvida;1922.8
V000522;2026-01-19;C0004;P0071;15.0;143.26;0.0;;Faturada;2148.9
V000523;2026-03-26;C0007;P0026;;114.01;0.0;Boleto;;2736.24
V000524;2026-02-19;C0007;P0037;20.0;73.26;0.0;Transferência;Faturada;1465.2
V000525;2026-05-30;C0022;P0079;22.0;108.31;0.0;Cartão;Faturada;2382.82
V000526;2026-07-21;C0028;P0022;1.0;201.57;0.0;Transferência;Faturada;201.57
V000527;2026-08-13;C0024;P0018;22.0;151.25;5.0;Transferência;Faturada;3322.5
V000528;2026-02-14;C0023;P0040;16.0;147.67;20.0;PIX;Faturada;2342.72
V000529;2026-08-15;C0009;P0069;7.0;24.92;20.0;PIX;Faturada;154.44
V000530;2026-05-29;C0002;P0065;21.0;126.43;10.0;Transferência;Devolvida;2645.03
V000531;2026-08-17;C0014;P0005;18.0;105.26;10.0;Transferência;Faturada;1884.68
V000532;2026-05-31;C0024;P0051;8.0;116.95;20.0;Cartão;Faturada;
V000533;2026-04-04;C0030;P0065;17.0;127.67;10.0;PIX;Faturada;2160.39
V000534;2026-04-25;C0040;P0022;25.0;207.99;0.0;Boleto;Devolvida;
V000535;2026-04-02;C0037;;24.0;38.29;0.0;Boleto;Faturada;918.96
V000536;2026-01-11;C0015;P0009;9.0;167.84;20.0;Boleto;Cancelada;1490.56
V000537;2026-08-14;;P0050;16.0;69.12;0.0;PIX;Faturada;1105.92
V000538;2026-08-02;C0007;P0067;21.0;147.81;20.0;Cartão;Devolvida;3084.01
V000539;2026-04-07;C0035;P0073;6.0;181.47;0.0;PIX;Cancelada;1088.82
V000540;2026-04-14;C0017;P0049;30.0;146.7;0.0;Cartão;Faturada;4401.0
V000541;2026-02-05;C0031;P0078;1.0;225.26;5.0;Boleto;Faturada;220.26
V000542;2026-02-08;C0005;P0066;21.0;70.67;0.0;Boleto;Faturada;1484.07
V000543;2026-07-27;C0039;P0016;22.0;147.82;0.0;PIX;Faturada;3252.04
V000544;2026-02-11;C0044;P0062;16.0;14.83;20.0;Transferência;Faturada;217.28
V000545;2026-02-11;C0016;P0006;5.0;96.08;0.0;PIX;Devolvida;480.4
V000546;2026-02-16;C0010;P0008;6.0;216.96;10.0;Transferência;Devolvida;1291.76
V000547;2026-06-19;C0037;P0003;29.0;;50.0;Cartão;Faturada;2339.02
V000548;2026-08-11;C0014;P0058;20.0;60.46;5.0;Boleto;Faturada;1204.2
V000549;2026-07-30;C0027;P0077;5.0;12.69;50.0;Boleto;Devolvida;13.45
V000550;2026-06-25;C0043;P0066;9.0;69.4;0.0;Transferência;Devolvida;624.6
V000551;2026-02-03;C0038;P0009;8.0;168.07;0.0;PIX;Faturada;1344.56
V000552;2026-02-08;C0034;P0065;22.0;134.57;10.0;PIX;Faturada;
V000553;2026-07-20;C0031;P0079;20.0;103.73;10.0;PIX;Faturada;2064.6
V000554;2026-07-31;C0031;;29.0;114.06;0.0;Transferência;Cancelada;3307.74
V000555;2026-05-16;C0027;P0048;28.0;101.49;5.0;Boleto;Faturada;2836.72
V000556;2026-07-09;C0050;P0049;12.0;155.33;50.0;PIX;Faturada;1813.96
V000557;2026-08-08;C0009;P0033;16.0;107.87;0.0;Cartão;Devolvida;1725.92
V000558;2026-07-01;C0035;P0053;9.0;133.95;20.0;PIX;Devolvida;1185.55
V000559;2026-06-17;C0034;P0016;17.0;142.52;0.0;Cartão;Faturada;2422.84
V000560;2026-05-30;C0024;P0014;5.0;98.95;0.0;Cartão;Cancelada;494.75
V000561;2026-06-24;C0028;P0073;12.0;188.16;5.0;Boleto;Faturada;2252.92
V000562;2026-05-24;C0036;P0072;16.0;157.2;10.0;Transferência;Faturada;2505.2
V000563;2026-04-12;C0020;P0074;12.0;38.93;20.0;Boleto;Faturada;447.16
V000564;2026-02-11;C0048;P0030;15.0;133.9;0.0;Boleto;Cancelada;2008.5
V000565;2026-06-28;C0026;P0044;26.0;196.37;20.0;PIX;Faturada;5085.62
V000566;2026-02-07;C0025;P0001;26.0;194.19;5.0;Transferência;Faturada;5043.94
V000567;2026-06-05;C0005;P0034;8.0;94.43;0.0;Transferência;Faturada;755.44
V000568;2026-06-02;C0040;P0067;10.0;145.25;0.0;Boleto;Faturada;1452.5
V000569;2026-07-25;C0029;P0002;;240.82;10.0;Cartão;Faturada;1675.74
V000570;2026-03-01;C0003;P0077;;12.17;10.0;Boleto;Faturada;196.89
V000571;2026-02-10;  C0024 ;P0031;21.0;195.71;0.0;Cartão;Faturada;4109.91
V000572;2026-05-13;C0023;P0051;13.0;111.77;0.0;PIX;Faturada;1453.01
V000573;2026-05-30;C0036;P0037;24.0;82.43;0.0;Cartão;Faturada;1978.32
V000574;2026-04-14;C0015;P0078;7.0;223.63;10.0;PIX;Faturada;1555.41
V000575;2026-01-19;C0012;P0053;17.0;132.17;10.0;Cartão;Faturada;2236.89
V000576;2026-07-28;C0008;P0066;9.0;77.37;50.0;Cartão;Faturada;646.33
V000577;2026-07-13;C0025;P0073;16.0;192.66;0.0;Transferência;Faturada;3082.56
V000578;2026-01-18;C0038;P0004;16.0;26.26;5.0;Boleto;Faturada;415.16
V000579;2026-01-03;C0021;;12.0;141.04;20.0;Cartão;Faturada;1672.48
V000580;2026-07-30;C0019;P0012;13.0;221.45;0.0;PIX;Cancelada;2878.85
V000581;17-08-2026;C0012;P0061;11.0;43.39;10.0;Cartão;Faturada;467.29
V000582;2026-03-02;C0048;  P0025 ;16.0;149.77;20.0;;Faturada;2376.32
V000583;2026-08-03;C0014;P0030;7.0;134.92;10.0;Cartão;Faturada;934.44
V000584;2026-06-23;C0050;P0014;4.0;106.55;20.0;Transferência;Devolvida;406.2
V000585;2026-04-06;c0001;P0070;2.0;61.48;10.0;Cartão;Faturada;112.96
V000586;2026-07-15;C0037;P0036;16.0;104.26;10.0;Cartão;Faturada;1658.16
V000587;2026-07-24;C0015;P0074;5.0;34.79;5.0;Transferência;Cancelada;168.95
V000588;2026-06-25;C0003;P0065;12.0;134.03;50.0;Boleto;Faturada;1558.36
V000589;2026-01-03;C0008;P0067;15.0;136.68;0.0;Boleto;Faturada;2050.2
V000590;2026-08-09;C0038;P0013;11.0;153.68;0.0;Boleto;Cancelada;1690.48
V000591;2026-06-06;C0017;P0031;9.0;211.08;0.0;Cartão;Faturada;1899.72
V000592;2026-07-12;C0032;P0055;7.0;165.33;0.0;Cartão;Faturada;1157.31
V000593;2026-05-28;C0018;P0058;6.0;56.82;20.0;Boleto;Faturada;320.92
V000594;2026-04-21;C0047;P0035;26.0;203.85;50.0;Transferência;Faturada;5250.1
V000595;2026-02-15;C0010;P0020;16.0;20.68;5.0;Transferência;Faturada;325.88
V000596;2026-07-21;C0041;P0067;18.0;145.45;;Cartão;Faturada;2613.1
V000597;2026-06-26;C0036;P0073;2.0;182.09;0.0;PIX;Faturada;364.18
V000598;2026-04-26;C0017;P0061;27.0;45.28;;Cartão;Faturada;1202.56
V000599;2026-07-27;C0024;P0047;18.0;194.65;0.0;Cartão;Faturada;3503.7
V000600;05/06/2026;C0027;P0016;12.0;162.93;0.0;Boleto;Faturada;1955.16
V000601;2026-07-18;C0023;P0042;22.0;225.99;20.0;Transferência;Faturada;4951.78
V000602;2026-02-07;C0025;P0079;10.0;111.02;50.0;Boleto;Faturada;1060.2
V000603;2026-01-19;C0027;P0079;19.0;110.01;0.0;Boleto;Faturada;2090.19
V000604;2026-07-01;C0015;P0041;11.0;227.15;0.0;Transferência;Faturada;2498.65
V000605;2026-04-26;C0029;;24.0;195.52;5.0;Boleto;Faturada;4687.48
V000606;2026-03-06;C0002;P0017;24.0;107.69;20.0;PIX;Faturada;2564.56
V000607;2026-08-13;C0011;P0051;4.0;103.45;5.0;PIX;faturada;408.8
V000608;2026-01-22;C0050;P0051;17.0;114.81;0.0;Cartão;Devolvida;1951.77
V000609;2026-04-10;C0010;P0011;21.0;135.8;0.0;boleto;Faturada;2851.8
V000610;2026-02-03;C0048;P0037;15.0;79.97;10.0;Boleto;Faturada;1189.55
V000611;2026-08-10;C0003;P0046;28.0;165.74;5.0;Transferência;Cancelada;4635.72
V000612;2026-06-28;C0018;P0071;15.0;132.27;10.0;Boleto;Devolvida;1974.05
V000613;2026-08-13;C0039;P0059;21.0;185.91;10.0;Transferência;Cancelada;3894.11
V000614;2026-05-04;C0041;P0069;10.0;27.48;10.0;Boleto;Faturada;264.8
V000615;2026-02-09;C0029;P0040;12.0;144.52;0.0;PIX;Faturada;1734.24
